CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
060059400||X|||||
060059500|||X||||
060059600|||X||||
060059700|||X||||
060059800|||X||||
060059900|||X||||
060060100|||X||||
060060200|||X||||
060060400|||X||||
060060500|||X||||
060060600|||X||||
060060700|||X||||
060060800|||X||||
060060900|||X||||
060061000|||X||||
060061100|||X||||
060061200||X|||||
060061300|||X||||
060061400|||||||
060061500|||X||||
060061700|||X||||
060061800|||X||||
060061900|X|X|||||
060062000|||X||||
060062200|||X||||
060062400|||||||
060062500|||||||
060062700|||X||||
060062800|||X||||
060062900|||X||||
060063000|||X||||
060063500|||X||||
060063700|||X||||
060064000|X|X|||||
060064200|||X||||
060064300|||X||||
060064400|||X||||
060064500|||X||||
060064600|||X||||
060064700|||X||||
060064800|||X||||
060064900|||X||||
060065000|||X||||
060065100|||X||||
060065200||||X|||
060065500|X|X|||||
060065600|X|X|||||
060065700|X|X|||||
060065800|X|X|||||
060065900|||||||
060066100|X|X|||||
060066200|||X||||
060066300|||X||||
060066400|||X||||
060066500|||X||||
060066600|||X||||
060066700|||X||||
060066800|||X||||
060066900|||X||||
060067000|||X||||
060067200|||X||||
060067300|||X||||
060067400||||||X|
060067500|X|X|||||
060067600|||X||||
060067800|||X||||
060067900|||X||||
060068000|X|X|||||
060068300|||X||||
060068500|||X||||
060068700|||X||||
060068800|X|X|||||
060068900|||||||
060069000|||X||||
060069100|||||||
060069200|X|X|||||
060069300|||X||||
060069400|||||||
060069500|||X||||
060069600||X|||||
060069700|||X||||
060069800||X|||||
060069900|||X||||
060070000|||X||||
060070200|||X||||
060070300|||X||||
060070400|||X||||
060070500|X|X|||||
060070700|||||||
060070800|||X||||
060070900|||X||||
060071000|||X||||
060071200|||X||||
060071400|||X||||
060071500|||X||||
060071600||X|||||
060071700|||X||||
060071800||||X|||
060071900|||X||||
060072000||||X|||
060072100||||X|||
060072200||X|X||||
060072300|X|X|||||
060072400|||||||
060072500|||X||||
060072600|X|X|||||
060072700|||||||
060072800|||X||||
060072900|||||||
060073000|X|X|||||
060073100|||X||||
060073200|||||||
060073300||||||X|
060073400||X|||||
060073500|||||||
060073501|||||||
060073600||||X|||
060073700|||||||
060073800|X|X|||||
