CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
260025901||X|||||
260025902||X|||||
260026000|||X||||
260026100||X|||||
260026101||X|||||
260026200|||X||||
260026300||X|X||||
260026400|||||||
260026500||||||X|
260026600|||||||
260026700|||X||||
260026800|||X||||
260026900||X|X||||
260027000|||X||||
260027100|||X||||
260027200|||X||||
260027300|||X||||
260027400||||X|X||
260027500|||||||
260027600||||X|||
260027601|||||||
260027700|||X||||
260027800||X|||||
260027900||||X|X||
260028000|||X||||
260028100|||X||||
260028200|||X||||
260028300||||X|||
260028400|||||||
260028500|||X|X|||
260028600|||X||||
260028700||X|||||
260028900|||X||||
260029000|||||||
260029001|||||||
260029100||||X|||
260029200||||X|X||
260029300||X|X||||
260029400||X|||||
260029500|||X||||
260029600|||X||||
260029700||X|||||
260029701||X|||||
260029800|||X||||
260029900||X|||||
260029901||X|||||
260030000|||X||||
260030200||X|||||
260030202||X|||||
260030300|||X||||
260030400||X|X||||
260030500||X|X||||
260030600|||X||||
260030700||X|X||||
260030800||||X|||
260030900|||X||||
260031000||X|||||
260031200|||||||
260031300|||X||||
260031500|||X||||
260031600|||X||||
260031700||X|X||||
260031800|X|X|||||
260031900|||X||||
260032000|||X||||
260032100|||X||||
260032200|||X||||
260032400|||X||||
260032500|||X||||
260032600|||X||||
260032700||X|||||
260032800||X|||||
260032900||X|X||||
260033000||X|X||||
260033100||X|||||
260033300||X|X||||
260033400|||||||
260033500|||||||
260033600||||||X|
260033601||||||X|
260033602||||||X|
260033603||||||X|
260033700||X|X||||
260033800|||X||||
260033900|||X||||
260034000|||X||||
260034300|X|X|||||
260034500|||X||||
260034700|X|X|||||
260034900||X|||||
260035100||||X|||
260035200||X|X||||
260035300|||X||||
260035500||||X|||
260035600|||X||||
260035700||X|X||||
260035900||X|X||||
260036100||X|X||||
260036300|||X||||
260036400||X|X||||
260036500|||||||
260036600|||X||||
260036700|||X||||
260036800|||X||||
260036900|||X||||
260037000|||X||||
260037100||X|||||
260037200|||X||||
260037300|||X||||
260037400||||X|X||
260037500|||X||||
260037600|||X||||
260037700||||X|X||
260037800|||||||
260037900|||X||||
260038100||X|X||||
260038200||X|||||
260038300||X|X||||
260038400||X|||||
260038500|||X||||
260038600|||X||||
260038700|||X||||
260038800||||X|||
260038900||||X|X||
260039000|||||||
260039100||X|||||
260039200|||X||||
260039300|||X||||
260039400|||X||||
260039500|||X||||
260039600|||X||||
260039700||||X|X||
260039800|||X||||
260039900||||X|||
260039901|||||||
260040000||||X|||
260040100|||X||||
260040200|||X||||
260040300|||X||||
260040500||X|||||
260040600|||X||||
260040700|||X||||
260040800||||X|||
260040801|||||||
260040900||||X|||
260041000||||X|||
260041100||X|X||||
260041200|||X||||
260041300||X|X||||
260041500||||||X|
260041501||||||X|
260041503||||||X|
260041600||X|X||||
260041700||||X|||
260041800||||X|X||
260041900|||X||||
260042000||X|X||||
260042100||X|||||
260042200||X|||||
260042300|||X||||
260042400||X|||||
260042500||||X|||
260042600|||X||||
260042700||X|||||
260042701||X|||||
260042800|||X||||
260042900||||X|||
260042901|||||||
260043000||||X|||
260043001|||||||
260043100||||X|||
260043200||||X|||
260043300|||||||
260043500||||X|||
260043600||||X|||
260043700|||||||
260043900||||X|X||
260044000||||X|||
260044400||||X|||
260044500||||X|||
260044600||||X|||
260044700||||X|||
260044800|||X||||
260044900|||X||||
260045000|||||||
260045100|||||||
260045700|||||||
260045701|||||||
260045800|||||||
260045801|||||||
260045900|||||||
260046000|||||||
260046001|||||||
260046100|||||||
260046300|||||||
260046302|||||||
260046304|||||||
260046400||||X|X||
260046500||||X|||
260046501|||||||
260046600|||||||
260046700||||X|||
260046800|||||||
260046900|||||||
260047000||||X|X||
260047100||X|||||
260047200|||||||
260047300|X|X|||||
260047700||||||X|
260047900|X|X|||||
260048100|X|X|||||
260048200|||||||
260048300|||||||
260048400||||X|||
260048600||||||X|
260048700||X|||||
260048800||X|||||
260048803||X|||||
260048900|X|X|||||
260049200||X|||||
260049300||X|||||
260049301||X|||||
260049400|||X||||
260049500||X|X||||
260049501|||||||
260049600|||||||
260049700|X|X|||||
260049800||X|||||
260049900||X|||||
260050000||X|||||
260050001||X|||||
260050002||X|||||
260050100|||||||
260050300||||X|||
260050800||X|||||
260050802||X|||||
260050803||X|||||
260050804||X|||||
260050805||X|||||
260050806||X|||||
260050807||X|||||
260051000||||||X|
260051200|||X||||
260051300||X|||||
260051400|||||||
260051500|||||||
260051600|||||||
260051800|||X||||
260051900|||X||||
260052000||X|X||||
260052100|||X||||
260052200||X|||||
260052300||X|||||
260052400||X|||||
260052500||X|||||
260052501||X|||||
260052600||X|||||
260052700||X|X||||
260052800||X|||||
260052900||X|||||
260053000||X|||||
260053100||X|||||
260053300||X|||||
260053301|X|X|||||
260053303|X|X|||||
260053304|X|X|||||
260053305|X|X|||||
260053306|X|X|||||
260053307|X||||||
260053308|X|X|||||
260053309||X|||||
260053310||X|||||
260053311|X|X|||||
260053400||||X|||
260053600|X|X|||||
260053601||X|||||
260053900|X|X|||||
260054000|X|X|||||
260054300||X|||||
260054400||X|||||
260054401||X|||||
260054500||||||X|
260054700|X|X|||||
260054800||X|||||
260055100|||||||
260055200|||||||
260055300|||||||
260055400|||||||
260055500|||||||
260055600|||||||
260055700|||||||
260055800|||||||
260056000||||X|||
260056200||||||X|
260056201||||||X|
260056300||||X|||
260056400||||X|||
260056500|||X||||
260056600||||X|||
260056700||||X|||
260056900|||||||
260057000|X|X|||||
260057100||||||X|
260057200||||X|||
260057201|||||||
260057300|||||||
260057600|||||||
260057700|X|X|||||
260057800||||||X|X
260057801||||||X|X
260057803||||||X|
260057900|||||||
260058000||||X|||
260058100||||X|||
260058101|||||||
260058200||||X|||
260058300|X||||||
260058301|X||||||
260058400|||X||||
260058500|||||||
260058700||X|||||
260058800|X|X|||||
260058900|X|X|||||
260059000||||X|X||
260059001|||||||
260059100|||X||||
260059200||X|||||
260059300|||X||||
260059400|X|X|||||
260059500||||X|||
260059600||||X|||
260059700|||||||
260059800|X|X|||||
260059801|X|X|||||
260059802|X|X|||||
260059900||||||X|
260060000||X|X||||
260060200|||||||
260060300|||||||
260060400|||||||
260060600|||||||
260061100||||||X|
260061101||||||X|
260061200|X|X|||||
260061201|X||||||
260061202|X||||||
260061203|X||||||
260061204|X||||||
260061205|X||||||
260061206|X||||||
260061300|X||||||
260061400||||X|X||
260061500||||||X|
260061600||||X|||
260061700||||X|||
260061800||||X|||
260061900||X|||||
260061901||X|||||
260061903||X|||||
260062000|||||||
260062200||||X|||
260062300||X|||||
260062500||X|||||
260062800|||X||||
260062900|X|X|||||
260063000|X|X|||||
260063200||X|||||
260063300||X|||||
260063400|X|X|||||
260063500||X|||||
260063600||||||X|
260063601||||||X|
260063602||||||X|
260063900|||||||
260064100|X|X|||||
260064101|X|X|||||
260064200||||||X|X
260064300||||X|||
260064400||||X|||
260064500||||X|||
260064600||||X|||
260064700||||X|||
260064800||||X|||
260064900||||X|||
260065000||||X|||
260065100||||X|||
260065200||||X|||
260065300||||X|||
260065400||||X|X||
260065500|||||||
260065600||||X|||
260065700||||X|||
260065800||||X|||
260065900||||X|||
260066000||X|||||
260066001|||X||||
260066100||||X|||
260066200||X|||||
260066300|||X||||
260066400||X|||||
260066500||X|||||
260066501||X|||||
260066700|||||||
260066800|||||||
260066900|X||||||
260067100|||||||
260067101|||||||
260067300||||X|||
260067400||||||X|
260067500||||||X|
260067501|||||||
260067600|||X||||
260067700|||||||
260067800||||X|||
260067900||||X|||
260068000||X|||||
260068100||X|||||
260068200||X|||||
260068300|X|X|X|X|||
260068400|||||||
260068600|X|X|||||
260068700||X|||||
260068701||X|||||
260068800||||||X|
260068900|||||||
260069100|||||||
260069400|||X||||
260069600||||||X|
260069700||||X|||
260069800||||X|||
260069900|||||||
260070000||||X|||
260070100||||X|||
260070200||||X|||
260070201||||X|||
260070202||||X|||
260070203||||X|||
260070204||||X|||
260070205||||X|||
260070206||||X|||
260070207||||X|||
260070208||||X|||
260070209||||X|||
260070210||||X|||
260070211||||X|||
260070212||||X|||
260070300||||X|||
260070301||||X|||
260070303||||X|||
260070304||||X|||
260070400|||||||
260070500|||||||
260070600||||X|||
260070700||X|||||
260070800||X|||||
260070900|X|X|||||
260071200|X|X|||||
260071300|||||||
260071500|X|X|||||
260071600|X||||||
260071700|||||||
260071800||||X|||
260071900||||X|||
260072000||||X|||
260072001||||X|||
260072002||||X|||
260072003||||X|||
260072004||||X|||
260072005||||X|||
260072006||||X|||
260072007||||X|||
260072008||||X|||
260072009||||X|||
260072100|||||||
260072200|||X||||
260072300||||X|||
260072400|X||||||
260072600||X|||||
260072700||X|||||
260072800|X|X|||||
260073100||||X|||
260073200||||X|||
260073300||X|||||
260073400|||X||||
260073700||||X|||
260073800||||X|||
260073900||X|X||||
260074000||X|||||
260074100|||X||||
260074200||X|||||
260074400|||||||
260074500||||X|||
260074600|||||||
260074700||||X|||
260074900|||||||
260075000|||||||
260075100||||X|||
260075200|||||||
260075300|X|X|X||||
260075400|||X||||
260075500||||X|||
260075501||||X|||
260075600||||X|||
260075700||||X|||
260075701||||X|||
260075702||||X|||
260075703||||X|||
260076000||||||X|
260076100||X|||||
260076200||||||X|
260076300|X|X|||||
260076500||||X|||
260076600||X|X||||
260076700||X|||||
260076900||||||X|X
260077000|||||||
260077100|||||||
260077200|||||||
260077300|||||||
260077400|X|X|||||
260077500|||||||
260077600|||||||
260077700|||||||
260077800|X|X|||||
260077900||||X|X||
260078000||X|||||
260078100||X|||||
260078200|||||||
260078300||||||X|
260078400|||||||
260078500|||||||
260078501|||||||
260078502|||||||
260078503|||||||
260078504|||||||
260078505|||||||
260078506|||||||
260078800|||||||
260078900||||||X|
260079000|||||||
260079100||X|||||
260079200||X|||||
260079300||X|||||
260079400||X|||||
260079500||X|||||
260079501||X|||||
260079600||X|||||
260079700|X|X|||||
260079701|X|X|||||
260079800||X|||||
260079900|X|X|||||
260080000|||||||
260080100|||||||
260080300||||X|||
260080400||X|||||
260080500||X|||||
260080600||X|||||
260080700||X|||||
260080800|X|X|||||
260080900||X|||||
260081000||X|||||
260081100||X|||||
260081300||||X|||
260081400|X|X|||||
260081500||X|||||
260081600|||||||
260081700||||X|||
260081800|||||||
260081900||X|||||
260082000||X|||||
260082100|||||||
260082300|X|X|||||
260082400|X|X|||||
260082500|||X||||
260082600|||X||||
260082800||X|||||
260083000|X|X|||||
260083100|||||||
260083300||X|X||||
260083400|||||||
269000100||||X|||
269000200||X|X|X|||
020000100|X|X|X|X|||
020000200|||X||||
020000300|X|X|X||||
020000500|X|X|X|X|||
020000700|X|X|X|X|||
020000800|||X||||
020000900|||X||||
020001000|||X||||
020001100|||X||||
020001200|||X||||
020001500|||||||
020001700|X|X|X||||
020001800|||X||||
020001900|||||||
020002000|||||||
020002100|||||||
020002200|||X||||
020002300|||X||||
020002400|||X||||
020002500|||X||||
020002600||||||X|
020002700||X|||||
020002800|X|X|X||||
020002900|X|X|X||||
020003100|X|X|X|X|||
020003300||X|X||||
020003400|X|X|X||||
020003500|X|X|||||
020003600|||||||
020003700||X|||||
020003701||X|||||
020003703||X|||||
020003800|||X||||
020003900|||X||||
020004000|||X||||
020004100|||X||||
020004200|||X||||
020004300|||X||||
020004400||X|||||
020004500|||||||
020004600|||X||||
020004700|X|X|X||||
020004800|||X||||
020004900||X|X||||
020005000|||X||||
020005100|||X||||
020005200|||||||
020005300|||X||||
020005400||X|X||||
020005500|X|X|||||
020005600|||X||||
020005700|||||||
020005800||||X|||
020005801||||X|||
020006000|||||||
020006100|||||||
020006200|||||||
020006300|||X||||
020006500||X|X||||
020007000|||||||
020007100|||X||||
020007200|X|X|X||||
020007300|||X||||
020007500||X|||||
020007501||X|||||
020007502||X|||||
020007600||X|||||
020007700|||X||||
020007800||||X|||
020007900||||X|||
020008000|||||||
020008200|X|X|X||||
020008300|X|X|X|X|||
020008400||X|||||
020008500|||X||||
020008600|||X||||
020008700|X|X|X||||
020008900|||X||||
020009000|||X||||
020009100|X|X|X|X|||
020009500|X|X|X|X|||
020009600|||||||
020009700|X|X|||||
020009800|X|X|X|X|||
020009900|X|X|X||||
020010000||X|X|X|||
020010200|X|X|X|X|||
020010300|||X||||
020010400||X|X||||
020010500|||||||
020010600|||||||
020010700|||||||
020010800|||||||
020011000|||X||||
020011100|||X||||
020011200|||X||||
020011300|||X||||
020011400||X|X||||
020011500|X|X|X|X|||
020011600||X|X|X||X|
020011700||X|||||
020011800||X|X|X|||
020011900|||||||
020012000|||X||||
020012100|||X||||
020012300|X|X|X|X|||
020012400|||||||
020012500|||X||||
020012600|X|X|X|X|||
020012700|X|X|X|X|||
020012800|||X||||
020012900||||X|X||
020013000|||X||||
020013500|||X||||
020013600|||X||||
020013800||X|X|X|||
020013900|||X||||
020014000|||X||||
020014100|||X||||
020014200|X|X|X|X|||
020014300||||X|||
020014400|X|X|||||
020014500||||X||X|
020014600||X|X||||
020014700|||||||
020015000|X|X|X|X|||
020015200||||X|||
020015300|||X||||
020015400|||X||||
020015500|X|X|||||
020015700|X|X|X||||
020015800|X|X|||||
020015801||X|||||
020015900||||X|||
020016000|||X||||
020016100|||X||||
020016200|||||||
020016300||||X|||
020016500|||X||||
020016600|||X||||
020016700|||X||||
020016800||X|X||||
020016900|||X||||
020017000|X|X|||||
020017400||X|X|X|||
020017500||||||X|X
020017700||X|||||
020017701||X|||||
020017702||X|||||
020017800|X|X|X|X|||
020017900|||||||
020018100|||X||||
020018400|||X||||
020018500|||X||||
020018600|||X||||
020018700||X|||||
020018701||X|||||
020018702||X|||||
020018800||X|||||
020018900|||X||||
020019000|X|X|X|X|||
020019200||||X|X||
020019300|||X||||
020019400|X|X|X||||
020019600|||X||||
020019700|||||||
020019800|X|X|X|X|||
020019900||X|X|X|||
020020000|||||||
020020100|X|X|X|X|||
020020200|||X||||
020020300|X|X|X|X|||
020020600||X|X||||
020020700|||X||||
020020800|||X||||
020020900|X|X|X|X|||
020021200|X|X|||||
020021300|||X||||
020021400|||X||||
020021500|||X||||
020021600|||X||||
020021700|X|X|X|X|||
020021800|X|X|X|X|||
020021900|||X||||
020022000|X|X|||||
020022001||X|||||
020022002||X|||||
020022003||X|||||
020022100|||X||||
020022200|||||||
020022300|X|X|X|X|||
020022400|X|X|X||||
020022500||X|X||||
020023000|||X||||
020023100||X|X|X|||
020023200||||||X|
020023300||||||X|
020023400||X|X||||
020023500||||X|||
020023600|||X||||
020023700|||X||||
020023800|||||||
020023900||X|||||
020023901||X|||||
020023902|X|X|||||
020024000||||||X|X
020024300|||||||
020024800|X|X|X|X|||
020024900||X|||||
020024901||X|||||
020024902||X|||||
020024903||X|||||
020024904||X|||||
020025000|||X||||
020025100|||X||||
020025300||X|X|X|||
020025400||X|X||||
020025500||X|||||
020025600||||||X|X
020025700|||||||
020025800|||||||
020025900|||||||
020026000|||||||
020026100|||||||
020026200|||||||
020026300|||||||
020026400|X|X|X|X|||
020026600|||||||
020026800|||X||||
020026900|||||||
020027000|||||||
020027100|||||||
020027200|||||||
020027300||||||X|X
020027400||X|||||
020027500||X|||||
020027600|X|X|X|X|||
020027800||X|||||
020027804||X|||||
020027900|||X||||
020028100|||X||||
020028300||||||X|
020028400|||||||
020028500||||X|||
020028600||||X|||
020028700|X|X|X|X|||
020028900|||X||||
020029000||X|||||
020029001||X|||||
020029002||X|||||
020029300||X|X|X|||
020029400||X|||||
020029401||X|||||
020029500||X|X|X|||
020029600|||X||||
020029700|||X||||
020029800|||X||||
020029900||||X|X||
020030100|||||||
020030200|||X||||
020030300||X|X||||
020030400|||X||||
020030500||X|X||||
020030700|X|X|X|X|||
020030900||X|||||
020030902||X|||||
020031000|||||||
020031100|||X||||
020031200|||||||
020031700||||X|||
020031900|||X||||
020032000|||||||
020032100|||||||
020032200|||||||
020032300|||||||
020032400|||X||||
020032500|||X||||
020032600|||||||
020032800|||X||||
020032900|||X||||
020033000|||X||||
020033100|X|X|X||||
020033300|||X||||
020033400||X|X||||
020033500|X|X|X||||
020033600||X|||||
020033601||X|||||
020033602||X|||||
020033700|||||||
020034100|||X||||
020034200|X|X|||||
020034400|X|X|||||
020034401||X|||||
020034402||X|||||
020034403||X|||||
020034500|||||||
020034700|||||||
020034800|||||||
020034900|||X||||
020035000||||X|||
020035100|||X||||
020035200|||X||||
020035300|X|X|||||
020035400|X|X|X|X|||
020035500|X|X|X||||
020035600||||||X|
020035800|||X||||
020036100||||||X|
020036200|||X||||
020036300|||X||||
020036400||||X|||
020036500|||||||
020036600||||||X|X
020036601||||||X|X
020036800|X|X|X||||
020037000|||X||||
020037100|||||||
020037200||||||X|X
020037300|||||||
020037400|||||||
020037500|||||||
020037600|||||||
020037900|X|X|||||
020038000|||X||||
020038100||X|||||
020038200||X|||||
020038300||||X|||
020038400|||||||
020038500|||||||
020038600|||X||||
020038700|X|X|X|X|||
020038800|||||||
020038900|||||||
020039000|||||||
020039100|||||||
020039200|||||||
020039300|||||||
020039400|||||||
020039800|X|X|X||||
020039900|||X||||
020040000|||X||||
020040100||||X|||
020040200||X|X|X|||
020040300|X|X|X||||
020040400|||X||||
020040500|||||||
020040700|X|X|X|X|||
020040800|||||||
020040900|||||||
020041000|||X||||
020041100||X|X|X|||
020041200||X|X||||
020041300|||X||||
020041400||||X|||
020041500|X|X|X|X|||
020041600|||||||
020041700|||X||||
020041800|||X||||
020041900|||X||||
020042000||X|X|X|||
020042100|||X||||
020042200|X|X|X|X|||
020042300|||||||
020042400||||||X|X
020042500||X|X||||
020042600||X|||||
020042700||X|||||
020042800|X|X|X|X|||
020043100|||||||
020043300|||X||||
020043600|||||||
020043700||X|X||||
020043800|||X||||
020043900||X|||||
020044000|X|X|X||||
020044100|||X||||
020044200||X|||||
020044400||X|||||
020044401||X|||||
020044402||X|||||
020044600|X|X|X||||
020044700|||X||||
020045100||||||X|X
020045200|||||||
020045300|||||||
020045500||X|X||||
020045600||X|X||||
020045700||X|X||||
020045800||||||X|X
020045900|||||||
020046000||||X|||
020046100|||X||||
020046200|||X||||
020046300|||X||||
020046400|X|X|X||||
020046500|||||||
020046700|X|X|||||
020046702||X|||||
020046703|X|X|||||
020046800|||||||
020046900||||X|X||
020047000|||X||||
020047200|||X||||
020047300|||X||||
020047400|||X||||
020047600|||X||||
020047700||X|||||
020047800||||X|X||
020047900||X|X|X|||
020048000|||||||
020048100|||X||||
020048300||||X|||
020048400|||X||||
020048500|||X||||
020048600|X|X|X|X|||
020048700||||X|||
020048900|||X||||
020049000|||X||||
020049100|||X||||
020049200||X|||||
020049300|X|X|X|X|||
020049400||||X|||
020049500|||X||||
020049600||X|X|X|||
020049700|||X||||
020049800|||||||
020049900||||X|X||
020050000||||X|||
020050200||X|X|X|||
020050300|X|X|X|X|||
020050400|||X||||
020050500|||||||
020050600||||X|X||
020050800||X|X|X|||
020050900||||X|X||
020051100|X|X|X|X|||
020051200|X|X|X|X|||
020051300|X|X|X|X|||
020051400|||X||||
020051600|||X||||
020051800|||X||||
020051900|||X||||
020052000|||X||||
020052100|X|X|X|X|||
020052300|||X||||
020052400|||X||||
020052500|X|X|X||||
020052600||||||X|
020052700|||X|X|||
020052800|||X||||
020053000|||X||||
020053100||||||X|X
020053200|X|X|X||||
020053300|||X||||
020053400|X|X|X|X|||
020053500||X|X|X|||
020053600||X|X|X||X|
020053601||||||X|
020053700|||||||
020053800|||||||
020053900||||||X|X
020054000|||X||||
020054100||X|X|X|||
020054200|X|X|||||
020054300||||X|||
020054400|||X||||
020054500|X|X|X||||
020054600|||X||||
020054700|||||||
020054900|||||||
020055100|||||||
020055300|||||||
020055400||X|||||
020055401||X|||||
020055402||X|||||
020055403||X|||||
020055404||X|||||
020055500||||X|||
020055600|||X||||
020055700|||X||||
020055800|||X||||
020055900|X|X|||||
020056000||X|X|X|||
020056100|X|X|X|X|||
020056200||X|X|X|||
020056300||||X|||
020056400||||||X|X
020056500||X|X|X|||
020056600|||X||||
020056700|||X||||
020056800||||X|X||
020057000|||X||||
020057100||X|X|X|||
020057200||X|X|X|||
020057500|X|X|X||||
020057800|||X||||
020057900|X|X|X|X|||
020058000||X|||||
020058001||X|||||
020058100|||X||||
020058200|||X||||
020058300||||X|X||
020058400|||X|X||X|
020058401||||||X|
020058500|X|X|X||||
020058800|X|X|X|X|||
020058900|||X||||
020059200|||X||||
020059300|||X||||
020059400|X|X|X|X|||
020059500||X|||||
020059600|||X||||
020059800|||X||||
020059900|||X||||
020060000||X|X|X|||
020060100|||X||||
020060200||||X|||
020060300||||||X|X
020060500|X|X|X|X|||
020060600||X|||||
020060700|||X||||
020061100||||X|||
020061200||||X|X||
020061300|X|X|X|X|||
020061400|X|X|X||||
020061500|||X||||
020061600|X|X|X|X|||
020061700||X|||||
020061701||X|||||
020061702||X|||||
020061703||X|||||
020061704||X|||||
020061800|||X||||
020061900|||X||||
020062000||X|X|X|||
020062100||X|||||
020062200||||X|X||
020062300||||X|||
020062400|X|X|X|X|||
020062600|||||||
020062800||||X|||
020062900|||X||||
020063000|X|X|||||
020063100|||X||||
020063200||X|X||||
020063300||X|X|X|||
020063400||X|||||
020063401||X|||||
020063402||X|||||
020063500|||X||||
020063700||||X|||
020063800|||X||||
020063900|X|X|||||
020064100||X|X|X||X|
020064200||X|X||||
020064300|X|X|X|X|||
020064400|||X||||
020064500|||X||||
020064600|||X||||
020064700|X|X|||||
020064800|||X||||
020064900||||X|||
020065000|||X|X|||
020065100|||||||
020065200||||X|||
020065300|X|X|X|X|||
020065400|||X||||
020065500||X|X|X|||
020065600|||X||||
020065700|X|X|||||
020065701||X|||||
020065800||X|X|X|||
020065900|||X||||
020066000|||X||||
020066100|||X||||
020066200|||X||||
020066300|X|X|X|X||X|
020066400||X|X|X|||
020066600||X|||||
020066700|||X||||
020066800|X|X|X|X|||
020066900|||X||||
020067000||X|X||||
020067200|X|X|X|X|||
020067300|X|X|X|X|||
020067400|X|X|X|X|||
020067500||X|X|X|||
020067600||X|X|X|||
020067700||X|X|X|||
020067800|||X||||
020068000||||X|||
020068100|||X||||
020068300|X|X|X|X|||
020068400|X|X|X|X|||
020068500|X|X|X|X|||
020068600|X|X|X|X|||
020068700|||X||||
020068900|||X||||
020069000|X|X|X|X||X|
020069100||X|X|X|||
020069200||||||X|
020069400|||X||||
020069500||X|||||
020069502||X|||||
020069504||X|||||
020069600|X|X|X|X||X|
020069700|||||||
020069800|||||||
020069900|X|X|X|X|||
020070000|X|X|X|X|||
020070100|||X||||
020070200||X|||||
020070300|X|X|||||
020070400||||||X|X
020070500|||X||||
020070600||X|||||
020070601||X|||||
020070602||X|||||
020070603|X|X|||||
020070700|||X||||
020070800|X|X|X|X||X|
020070900||X|||||
020071000|||X||||
020071100|||X||||
020071300||X|||||
020071302||X|||||
020071303||X|||||
020071400|||X||||
020071500||||||X|
020071600|X|X|X|X|||
020071700|X|X|X|X||X|
020071800|X|X|X|X|||
020072000||||||X|
020072100|X|X|X|X|||
020072200|||||||
020072300|X|X|X|X|||
020072400||||X|X||
020072600|||X||||
020072700|||X||||
020072800|X|X|X|X|||
020072900|X|X|X|X|||
020073000|||X||||
020073100|||X||||
020073200|||||||
020073300|X|X|X|X|||
020073500|||X||||
020073600|X|X|X||||
020073700||X|||||
020073701||X|||||
020073702||X|||||
020073703||X|||||
020073800|X|X|X|X||X|
020073900|X|X|X|X|||
020074000|X|X|X|X|||
020074100|X|X|X||||
020074200||||||X|X
020074300|||X||||
020074400||||X|||
020074500|||X||||
020074600||||X|X||
020074700||X|X|X|||
020074800|X|X|X|X|||
020074900||X|X|X|||
020075000|||||||
020075100|||X||||
020075200|||||||
020075300|X|X|X|X||X|
020075500||||X|||
020075600||||X|||
020075700||X|||||
020075800|||X||||
020076000|||X||||
020076100|||X||||
020076200|||X||||
020076300|||X||||
020076500|||X||||
020076600||X|X||||
020076700|X|X|X|X|||
020076800||X|X|X||X|
020076900||X|X||||
020077000||||X|||
020077100|||||||
020077200|||X||||
020077300|X|X|||||
020077400|||X||||
020077500|||X||||
020077600|X|X|X|X|||
020077700||||X|||
020077800|||X||||
020077900||||X|||
020078000|||X||||
020078100||X|X|X|||
020078200|X|X|X||||
020078300||X|X|X|||
020078400|||X||||
020078500||||X|||
020078600|||X||||
020078700|||||||
020078900||X|X||||
020079000||X|||||
020079100|||X||||
020079300|||||||
020079400|||X||||
020079500||||||X|
020079700|X|X|||||
020079900|||X||||
020080000|X|X|||||
020080001||X|||||
020080002||X|||||
020080300||X|||||
020080500|||X||||
020080800||||X|X||
020080900|||X||||
020081000|X|X|||||
020081100|||X||||
020081300|||X||||
020081400|||X||||
020081600|X|X|||||
020081800|||X||||
020082000|||X||||
020082100|X|X|X||||
020082200|X|X|X|X|||
020082300|X|X|X|X|||
020082400|||X||||
020082500||||X|||
020082600|||X||||
020082800|X|X|X|X|||
020082900|||X||||
020083000|||X||||
020083100|||X||||
020083200||X|X||||
020083300||X|X|X|||
020083400|X|X|X|X|||
020083500||||X|||
020083800||||X|X||
020083900||||X|||
020084000||||X|X||
020084300||||X|X||
020084500|X|X|X|X|||
020084600|||X||||
020084800||X|||||
020084801||X|||||
020084802||X|||||
020084803||X|||||
020084804||X|||||
020084900||||X|||
020085000|||X||||
020085100|||||||
020085200||||||X|X
020085300||||X|||
020085400||||||X|
020085500|X|X|X|X|||
020085600|X|X|X||||
020085800|||||||
020085900||||X|||
020086000|X|X|X|X|||
020086200|||X|X|||
020086400|||X||||
020086500||||X|X||
020086600||X|X|X||X|
020086700||||X||X|X
020086800|X|X|X|X|||
020086900|||X||||
020087000||||||X|X
020087100||||X|||
020087200|X|X|||||
020087201||X|||||
020087202||X|||||
020087300||X|X|X|||
020087400|||X||||
020087500||X|X|X|||
020087600||||X|X||
020087700|||X||||
020087800|||X||||
020087900||X|||||
020087902||X|||||
020087903|X|X|||||
020088000|||X||||
020088100|||X||||
020088200|||X||||
020088300||||X|||
020088400|||X||||
020088500|X|X|X|X|||
020088600||X|X|X|||
020088700|||X||||
020088800|||X||||
020088900|X|X|||||
020089000||||||X|X
020089100|X|X|X||||
020089200|||X||||
020089300|||X||||
020089400|||X||||
020089500|||X|X||X|
020089501|X|X|||||
020089600|||X||||
020089700|X|X|X|X|||
020089800|||X||||
020089900|X|X|X|X|||
020090100|X|X|||||
020090200|||X||||
020090300||||X|X||
020090400|X|X|X|X|||
020090500|||||||
020090600|||X||||
020090700|||X||||
020090900|X|X|||||
020091000||X|X|X|||
020091100||||X|X||
020091200||X|X|X|||
020091400|X|X|X||||
020091600|X|X|X||||
020091800|X|X|X|X|||
020092000||||X|||
020092100||X|X||||
020092200|X|X|X|X|||
020092500||X|X|X|||
020092600|X|X|X|X|||
020092700|||X||||
020092800|||X||||
020092900|||X||||
020093000||||X|||
020093001||||X|||
020093100||X|||||
020093101||X|||||
020093102||X|||||
020093103||X|||||
020093104||X|||||
020093105||X|||||
020093200|||X||||
020093300|||X||||
020093400|||X||||
020093500|||X||||
020093600|||X||||
020093700|||||||
020093800|||X||||
020093900||||X|X||
020094000||X|X||||
020094100|||X||||
020094200||||X|||
020094300|X|X|X|X|||
020094400||||X|||
020094500||X|X|X|||
020094700|||X||||
020094800||X|X||||
020094900|X|X|X|X|||
020095000||||X|||
020095100|X|X|X|X|||
020095200|||||||
020095300||X|||||
020095400||X|||||
020095401||X|||||
020095402||X|||||
020095500||X|X|X|||
020095600|X|X|X|X|||
020095700||||X|||
020095800||||X|||
020095900||X|X|X|||
020096000|X|X|X|X|||
020096100|||X||||
020096200|X|X|X||||
020096300|||||||
020096301|||||||
020096302|||||||
020096500|||||||
020096600|X|X|X|X|||
020096700|X|X|X|X|||
